,Assortment,CompDist,CompOpen,Customers,Date,DayOfWeek,Open,Promo,Promo2,Sales,Store,StoreType,month,Preds
25091,c,far,True,3047,2015-07-09,4,1,0,0,16703,562,b,07,15409.6669921875
25906,a,near,False,3145,2015-07-08,3,1,0,0,19142,262,b,07,18402.494140625
26206,c,far,True,3016,2015-07-08,3,1,0,0,16691,562,b,07,15177.396484375
27021,a,near,False,3080,2015-07-07,2,1,0,0,17208,262,b,07,17530.005859375
27321,c,far,True,2955,2015-07-07,2,1,0,0,16004,562,b,07,15041.5107421875
28136,a,near,False,3290,2015-07-06,1,1,0,0,19894,262,b,07,18689.494140625
28436,c,far,True,3125,2015-07-06,1,1,0,0,18049,562,b,07,16072.74609375
29251,a,near,False,4762,2015-07-05,7,1,0,0,30255,262,b,07,29619.87890625
29551,c,far,True,3158,2015-07-05,7,1,0,0,19876,562,b,07,18867.884765625
30366,a,near,False,3343,2015-07-04,6,1,0,0,17090,262,b,07,17604.99609375
30666,c,far,True,2602,2015-07-04,6,1,0,0,12272,562,b,07,12549.9990234375
31481,a,near,False,4051,2015-07-03,5,1,1,0,23253,262,b,07,22727.66015625
31781,c,far,True,3404,2015-07-03,5,1,1,0,19083,562,b,07,18626.1953125
32596,a,near,False,3632,2015-07-02,4,1,1,0,21564,262,b,07,20755.603515625
32896,c,far,True,3493,2015-07-02,4,1,1,0,19316,562,b,07,18442.00390625
33711,a,near,False,3439,2015-07-01,3,1,1,0,21418,262,b,07,20081.255859375
34011,c,far,True,3339,2015-07-01,3,1,1,0,20467,562,b,07,19444.748046875
34826,a,near,False,3319,2015-06-30,2,1,1,0,21554,262,b,06,20958.505859375
35126,c,far,True,3310,2015-06-30,2,1,1,0,20916,562,b,06,20247.005859375
35941,a,near,False,3219,2015-06-29,1,1,1,0,20112,262,b,06,21331.994140625
36241,c,far,True,3154,2015-06-29,1,1,1,0,20546,562,b,06,22212.830078125
37056,a,near,False,4450,2015-06-28,7,1,0,0,28817,262,b,06,30150.62109375
37356,c,far,True,3331,2015-06-28,7,1,0,0,19568,562,b,06,19190.00390625
38171,a,near,False,3084,2015-06-27,6,1,0,0,17864,262,b,06,17245.00390625
38471,c,far,True,2419,2015-06-27,6,1,0,0,12273,562,b,06,13876.6025390625
39286,a,near,False,3275,2015-06-26,5,1,0,0,17936,262,b,06,19265.99609375
39586,c,far,True,3161,2015-06-26,5,1,0,0,16902,562,b,06,18027.994140625
40401,a,near,False,2874,2015-06-25,4,1,0,0,15896,262,b,06,17016.4921875
40701,c,far,True,2702,2015-06-25,4,1,0,0,14777,562,b,06,16117.9931640625
41516,a,near,False,2780,2015-06-24,3,1,0,0,16249,262,b,06,16886.0078125
41816,c,far,True,2838,2015-06-24,3,1,0,0,14956,562,b,06,16557.173828125
42631,a,near,False,2780,2015-06-23,2,1,0,0,15797,262,b,06,16868.494140625
42931,c,far,True,2775,2015-06-23,2,1,0,0,15113,562,b,06,16410.595703125
43746,a,near,False,3142,2015-06-22,1,1,0,0,18027,262,b,06,18662.0078125
44046,c,far,True,3028,2015-06-22,1,1,0,0,16542,562,b,06,17926.005859375
44861,a,near,False,4335,2015-06-21,7,1,0,0,28187,262,b,06,30150.62109375
45161,c,far,True,3157,2015-06-21,7,1,0,0,18960,562,b,06,19190.00390625
45976,a,near,False,3033,2015-06-20,6,1,0,0,16392,262,b,06,17245.00390625
46276,c,far,True,2489,2015-06-20,6,1,0,0,12467,562,b,06,13876.6025390625
47091,a,near,False,3471,2015-06-19,5,1,1,0,20772,262,b,06,22684.6640625
47391,c,far,True,3311,2015-06-19,5,1,1,0,18604,562,b,06,19491.337890625
48206,a,near,False,3202,2015-06-18,4,1,1,0,19724,262,b,06,20442.251953125
48506,c,far,True,3060,2015-06-18,4,1,1,0,17918,562,b,06,19347.00390625
49321,a,near,False,3057,2015-06-17,3,1,1,0,19639,262,b,06,19958.994140625
49621,c,far,True,3017,2015-06-17,3,1,1,0,18456,562,b,06,18522.79296875
50436,a,near,False,2941,2015-06-16,2,1,1,0,19982,262,b,06,20958.505859375
50736,c,far,True,3021,2015-06-16,2,1,1,0,19034,562,b,06,20247.005859375
51551,a,near,False,3227,2015-06-15,1,1,1,0,21022,262,b,06,21331.994140625
51851,c,far,True,3284,2015-06-15,1,1,1,0,20735,562,b,06,22212.830078125
52666,a,near,False,4448,2015-06-14,7,1,0,0,29937,262,b,06,30150.62109375
52966,c,far,True,3170,2015-06-14,7,1,0,0,18775,562,b,06,19190.00390625
53781,a,near,False,3224,2015-06-13,6,1,0,0,18043,262,b,06,17245.00390625
54081,c,far,True,2593,2015-06-13,6,1,0,0,12897,562,b,06,13876.6025390625
54896,a,near,False,3553,2015-06-12,5,1,0,0,18592,262,b,06,19265.99609375
55196,c,far,True,3273,2015-06-12,5,1,0,0,16542,562,b,06,18027.994140625
56011,a,near,False,2984,2015-06-11,4,1,0,0,17026,262,b,06,17016.4921875
56311,c,far,True,2996,2015-06-11,4,1,0,0,16512,562,b,06,16117.9931640625
57126,a,near,False,2823,2015-06-10,3,1,0,0,16085,262,b,06,16886.0078125
57426,c,far,True,2913,2015-06-10,3,1,0,0,16795,562,b,06,16557.173828125
58241,a,near,False,2973,2015-06-09,2,1,0,0,17643,262,b,06,16868.494140625
58541,c,far,True,2981,2015-06-09,2,1,0,0,16024,562,b,06,16410.595703125
59356,a,near,False,3075,2015-06-08,1,1,0,0,18662,262,b,06,18662.0078125
59656,c,far,True,3103,2015-06-08,1,1,0,0,18084,562,b,06,17926.005859375
60471,a,near,False,4531,2015-06-07,7,1,0,0,29879,262,b,06,30150.62109375
60771,c,far,True,3282,2015-06-07,7,1,0,0,18421,562,b,06,19190.00390625
61586,a,near,False,3252,2015-06-06,6,1,0,0,17016,262,b,06,17245.00390625
61886,c,far,True,2609,2015-06-06,6,1,0,0,13483,562,b,06,13876.6025390625
62701,a,near,False,4077,2015-06-05,5,1,1,0,24150,262,b,06,22684.6640625
63001,c,far,True,3689,2015-06-05,5,1,1,0,20018,562,b,06,19491.337890625
63816,a,near,False,3334,2015-06-04,4,1,1,0,20549,262,b,06,20442.251953125
64116,c,far,True,3240,2015-06-04,4,1,1,0,19314,562,b,06,19347.00390625
64931,a,near,False,3139,2015-06-03,3,1,1,0,20177,262,b,06,19958.994140625
65231,c,far,True,3166,2015-06-03,3,1,1,0,20018,562,b,06,18522.79296875
66046,a,near,False,3214,2015-06-02,2,1,1,0,21471,262,b,06,20958.505859375
66346,c,far,True,3183,2015-06-02,2,1,1,0,20810,562,b,06,20247.005859375
67161,a,near,False,3452,2015-06-01,1,1,1,0,23204,262,b,06,21331.994140625
67461,c,far,True,3533,2015-06-01,1,1,1,0,24214,562,b,06,22212.830078125
68276,a,near,False,4668,2015-05-31,7,1,0,0,32400,262,b,05,30588.375
68576,c,far,True,3504,2015-05-31,7,1,0,0,21975,562,b,05,18351.74609375
69391,a,near,False,3302,2015-05-30,6,1,0,0,19638,262,b,05,18649.111328125
69691,c,far,True,2689,2015-05-30,6,1,0,0,14890,562,b,05,13980.6669921875
70506,a,near,False,3509,2015-05-29,5,1,0,0,21134,262,b,05,20795.001953125
70806,c,far,True,3545,2015-05-29,5,1,0,0,20628,562,b,05,17737.66796875
71621,a,near,False,3152,2015-05-28,4,1,0,0,19820,262,b,05,31082.9921875
71921,c,far,True,3183,2015-05-28,4,1,0,0,18127,562,b,05,18098.39453125
72736,a,near,False,2857,2015-05-27,3,1,0,0,17418,262,b,05,19444.99609375
73036,c,far,True,2939,2015-05-27,3,1,0,0,16813,562,b,05,17529.248046875
73851,a,near,False,3150,2015-05-26,2,1,0,0,19155,262,b,05,17959.755859375
74151,c,far,True,3144,2015-05-26,2,1,0,0,18116,562,b,05,17584.24609375
74966,a,near,False,4989,2015-05-25,1,1,0,0,35159,262,b,05,27740.994140625
75266,c,far,True,3435,2015-05-25,1,1,0,0,21370,562,b,05,17249.671875
76081,a,near,False,4985,2015-05-24,7,1,0,0,30978,262,b,05,30588.375
76381,c,far,True,2974,2015-05-24,7,1,0,0,17237,562,b,05,18351.74609375
77196,a,near,False,3164,2015-05-23,6,1,0,0,18179,262,b,05,18649.111328125
77496,c,far,True,2566,2015-05-23,6,1,0,0,13722,562,b,05,13980.6669921875
78311,a,near,False,3513,2015-05-22,5,1,1,0,21944,262,b,05,22777.671875
78611,c,far,True,3193,2015-05-22,5,1,1,0,17726,562,b,05,21038.6640625
79426,a,near,False,2819,2015-05-21,4,1,1,0,18986,262,b,05,23420.74609375
79726,c,far,True,2946,2015-05-21,4,1,1,0,17312,562,b,05,19549.001953125
80541,a,near,False,2759,2015-05-20,3,1,1,0,18333,262,b,05,18629.33984375
80841,c,far,True,2943,2015-05-20,3,1,1,0,18532,562,b,05,18389.00390625
81656,a,near,False,3114,2015-05-19,2,1,1,0,19036,262,b,05,19357.994140625
81956,c,far,True,3204,2015-05-19,2,1,1,0,19488,562,b,05,18873.244140625
82771,a,near,False,3200,2015-05-18,1,1,1,0,20564,262,b,05,21461.33984375
83071,c,far,True,3365,2015-05-18,1,1,1,0,21957,562,b,05,21946.19921875
83886,a,near,False,4397,2015-05-17,7,1,0,0,29008,262,b,05,30588.375
84186,c,far,True,3327,2015-05-17,7,1,0,0,20043,562,b,05,18351.74609375
85001,a,near,False,2915,2015-05-16,6,1,0,0,16189,262,b,05,18649.111328125
85301,c,far,True,2643,2015-05-16,6,1,0,0,13342,562,b,05,13980.6669921875
86116,a,near,False,3280,2015-05-15,5,1,0,0,20874,262,b,05,20795.001953125
86416,c,far,True,3049,2015-05-15,5,1,0,0,16667,562,b,05,17737.66796875
87231,a,near,False,5192,2015-05-14,4,1,0,0,38367,262,b,05,31082.9921875
87531,c,far,True,3347,2015-05-14,4,1,0,0,20788,562,b,05,18098.39453125
88346,a,near,False,3450,2015-05-13,3,1,0,0,21861,262,b,05,19444.99609375
88646,c,far,True,3399,2015-05-13,3,1,0,0,19716,562,b,05,17529.248046875
89461,a,near,False,2887,2015-05-12,2,1,0,0,16489,262,b,05,17959.755859375
89761,c,far,True,2989,2015-05-12,2,1,0,0,16629,562,b,05,17584.24609375
90576,a,near,False,3054,2015-05-11,1,1,0,0,18351,262,b,05,27740.994140625
90876,c,far,True,3004,2015-05-11,1,1,0,0,16189,562,b,05,17249.671875
91691,a,near,False,4729,2015-05-10,7,1,0,0,31527,262,b,05,30588.375
91991,c,far,True,3265,2015-05-10,7,1,0,0,19354,562,b,05,18351.74609375
92806,a,near,False,3424,2015-05-09,6,1,0,0,19315,262,b,05,18649.111328125
93106,c,far,True,2508,2015-05-09,6,1,0,0,13180,562,b,05,13980.6669921875
93921,a,near,False,3250,2015-05-08,5,1,1,0,19618,262,b,05,22777.671875
94221,c,far,True,3331,2015-05-08,5,1,1,0,18880,562,b,05,21038.6640625
95036,a,near,False,2982,2015-05-07,4,1,1,0,19438,262,b,05,23420.74609375
95336,c,far,True,3089,2015-05-07,4,1,1,0,18413,562,b,05,19549.001953125
96151,a,near,False,2785,2015-05-06,3,1,1,0,18698,262,b,05,18629.33984375
96451,c,far,True,3161,2015-05-06,3,1,1,0,19112,562,b,05,18389.00390625
97266,a,near,False,2874,2015-05-05,2,1,1,0,18336,262,b,05,19357.994140625
97566,c,far,True,3119,2015-05-05,2,1,1,0,18898,562,b,05,18873.244140625
98381,a,near,False,3308,2015-05-04,1,1,1,0,20832,262,b,05,21461.33984375
98681,c,far,True,3536,2015-05-04,1,1,1,0,21517,562,b,05,21946.19921875
99496,a,near,False,4533,2015-05-03,7,1,0,0,29995,262,b,05,30588.375
99796,c,far,True,3359,2015-05-03,7,1,0,0,20279,562,b,05,18351.74609375
100611,a,near,False,3460,2015-05-02,6,1,0,0,20514,262,b,05,18649.111328125
100911,c,far,True,2893,2015-05-02,6,1,0,0,15457,562,b,05,13980.6669921875
101726,a,near,False,5458,2015-05-01,5,1,1,0,38484,262,b,05,22777.671875
102026,c,far,True,3655,2015-05-01,5,1,1,0,22866,562,b,05,21038.6640625
102841,a,near,False,4094,2015-04-30,4,1,1,0,26849,262,b,04,20429.03125
103141,c,far,True,4075,2015-04-30,4,1,1,0,26481,562,b,04,19953.6640625
103956,a,near,False,3024,2015-04-29,3,1,1,0,19737,262,b,04,21235.494140625
104256,c,far,True,3185,2015-04-29,3,1,1,0,20357,562,b,04,19510.671875
105071,a,near,False,3087,2015-04-28,2,1,1,0,21331,262,b,04,20560.005859375
105371,c,far,True,3171,2015-04-28,2,1,1,0,19790,562,b,04,20219.197265625
106186,a,near,False,3217,2015-04-27,1,1,1,0,21005,262,b,04,20520.994140625
106486,c,far,True,3498,2015-04-27,1,1,1,0,22895,562,b,04,21797.837890625
107301,a,near,False,4340,2015-04-26,7,1,0,0,28853,262,b,04,26198.001953125
107601,c,far,True,3099,2015-04-26,7,1,0,0,18894,562,b,04,17287.552734375
108416,a,near,False,3206,2015-04-25,6,1,0,0,17406,262,b,04,17001.662109375
108716,c,far,True,2509,2015-04-25,6,1,0,0,13760,562,b,04,14144.9990234375
109531,a,near,False,3185,2015-04-24,5,1,0,0,18978,262,b,04,18211.33984375
109831,c,far,True,3115,2015-04-24,5,1,0,0,16411,562,b,04,16873.00390625
110646,a,near,False,2585,2015-04-23,4,1,0,0,18869,262,b,04,17204.9921875
110946,c,far,True,2759,2015-04-23,4,1,0,0,14957,562,b,04,15819.4013671875
111761,a,near,False,2507,2015-04-22,3,1,0,0,13738,262,b,04,17134.255859375
112061,c,far,True,2666,2015-04-22,3,1,0,0,15329,562,b,04,16332.9990234375
112876,a,near,False,2771,2015-04-21,2,1,0,0,15959,262,b,04,17603.66015625
113176,c,far,True,2818,2015-04-21,2,1,0,0,15469,562,b,04,17242.337890625
113991,a,near,False,2922,2015-04-20,1,1,0,0,16978,262,b,04,22583.33984375
114291,c,far,True,3123,2015-04-20,1,1,0,0,16532,562,b,04,17662.599609375
115106,a,near,False,4248,2015-04-19,7,1,0,0,27077,262,b,04,26198.001953125
115406,c,far,True,3381,2015-04-19,7,1,0,0,17830,562,b,04,17287.552734375
116221,a,near,False,3134,2015-04-18,6,1,0,0,18179,262,b,04,17001.662109375
116521,c,far,True,2491,2015-04-18,6,1,0,0,13204,562,b,04,14144.9990234375
117336,a,near,False,3544,2015-04-17,5,1,1,0,23687,262,b,04,38721.984375
117636,c,far,True,3553,2015-04-17,5,1,1,0,20186,562,b,04,20128.25390625
118451,a,near,False,3092,2015-04-16,4,1,1,0,20430,262,b,04,20429.03125
118751,c,far,True,3202,2015-04-16,4,1,1,0,18891,562,b,04,19953.6640625
119566,a,near,False,2948,2015-04-15,3,1,1,0,18241,262,b,04,21235.494140625
119866,c,far,True,3036,2015-04-15,3,1,1,0,19068,562,b,04,19510.671875
120681,a,near,False,2932,2015-04-14,2,1,1,0,19453,262,b,04,20560.005859375
120981,c,far,True,3268,2015-04-14,2,1,1,0,20388,562,b,04,20219.197265625
121796,a,near,False,3228,2015-04-13,1,1,1,0,21650,262,b,04,20520.994140625
122096,c,far,True,3450,2015-04-13,1,1,1,0,22817,562,b,04,21797.837890625
122911,a,near,False,4553,2015-04-12,7,1,0,0,29650,262,b,04,26198.001953125
123211,c,far,True,3460,2015-04-12,7,1,0,0,20255,562,b,04,17287.552734375
124026,a,near,False,3256,2015-04-11,6,1,0,0,16903,262,b,04,17001.662109375
124326,c,far,True,2642,2015-04-11,6,1,0,0,13918,562,b,04,14144.9990234375
125141,a,near,False,3281,2015-04-10,5,1,0,0,18324,262,b,04,18211.33984375
125441,c,far,True,3212,2015-04-10,5,1,0,0,16414,562,b,04,16873.00390625
126256,a,near,False,3064,2015-04-09,4,1,0,0,16999,262,b,04,17204.9921875
126556,c,far,True,2983,2015-04-09,4,1,0,0,15151,562,b,04,15819.4013671875
127371,a,near,False,3144,2015-04-08,3,1,0,0,19130,262,b,04,17134.255859375
127671,c,far,True,3107,2015-04-08,3,1,0,0,16881,562,b,04,16332.9990234375
128486,a,near,False,3375,2015-04-07,2,1,0,0,18938,262,b,04,17603.66015625
128786,c,far,True,3127,2015-04-07,2,1,0,0,17430,562,b,04,17242.337890625
129601,a,near,False,5152,2015-04-06,1,1,0,0,33655,262,b,04,22583.33984375
129901,c,far,True,3552,2015-04-06,1,1,0,0,20025,562,b,04,17662.599609375
130716,a,near,False,4207,2015-04-05,7,1,0,0,28086,262,b,04,26198.001953125
131016,c,far,True,2978,2015-04-05,7,1,0,0,17177,562,b,04,17287.552734375
131831,a,near,False,3458,2015-04-04,6,1,0,0,21933,262,b,04,17001.662109375
132131,c,far,True,3182,2015-04-04,6,1,0,0,17465,562,b,04,14144.9990234375
132946,a,near,False,5132,2015-04-03,5,1,1,0,38722,262,b,04,38721.984375
133246,c,far,True,3511,2015-04-03,5,1,1,0,22413,562,b,04,20128.25390625
134061,a,near,False,4277,2015-04-02,4,1,1,0,30012,262,b,04,20429.03125
134361,c,far,True,3821,2015-04-02,4,1,1,0,24903,562,b,04,19953.6640625
135176,a,near,False,3596,2015-04-01,3,1,1,0,26738,262,b,04,21235.494140625
135476,c,far,True,3239,2015-04-01,3,1,1,0,22896,562,b,04,19510.671875
136291,a,near,False,3627,2015-03-31,2,1,1,0,26517,262,b,03,19663.494140625
136591,c,far,True,3134,2015-03-31,2,1,1,0,21045,562,b,03,19654.001953125
137406,a,near,False,3385,2015-03-30,1,1,1,0,23922,262,b,03,22175.505859375
137706,c,far,True,3294,2015-03-30,1,1,1,0,23107,562,b,03,22511.201171875
138521,a,near,False,3493,2015-03-29,7,1,0,0,21140,262,b,03,27769.8515625
138821,c,far,True,2797,2015-03-29,7,1,0,0,16958,562,b,03,18638.662109375
139636,a,near,False,2973,2015-03-28,6,1,0,0,16179,262,b,03,16539.255859375
139936,c,far,True,2680,2015-03-28,6,1,0,0,14422,562,b,03,14026.1455078125
140751,a,near,False,3366,2015-03-27,5,1,0,0,19148,262,b,03,18920.244140625
141051,c,far,True,3245,2015-03-27,5,1,0,0,17476,562,b,03,17783.595703125
141866,a,near,False,2794,2015-03-26,4,1,0,0,17519,262,b,03,16310.0068359375
142166,c,far,True,2824,2015-03-26,4,1,0,0,16172,562,b,03,16530.998046875
142981,a,near,False,2674,2015-03-25,3,1,0,0,15086,262,b,03,14991.6591796875
143281,c,far,True,3009,2015-03-25,3,1,0,0,16321,562,b,03,16395.001953125
144096,a,near,False,2657,2015-03-24,2,1,0,0,14951,262,b,03,15208.669921875
144396,c,far,True,2858,2015-03-24,2,1,0,0,15985,562,b,03,16590.671875
145211,a,near,False,2841,2015-03-23,1,1,0,0,15888,262,b,03,16223.4970703125
145511,c,far,True,3001,2015-03-23,1,1,0,0,16963,562,b,03,16480.994140625
146326,a,near,False,4120,2015-03-22,7,1,0,0,27301,262,b,03,27769.8515625
146626,c,far,True,3221,2015-03-22,7,1,0,0,20904,562,b,03,18638.662109375
147441,a,near,False,2884,2015-03-21,6,1,0,0,16498,262,b,03,16539.255859375
147741,c,far,True,2620,2015-03-21,6,1,0,0,13565,562,b,03,14026.1455078125
148556,a,near,False,3322,2015-03-20,5,1,1,0,19779,262,b,03,21181.00390625
148856,c,far,True,3435,2015-03-20,5,1,1,0,20623,562,b,03,19927.49609375
149671,a,near,False,2986,2015-03-19,4,1,1,0,17551,262,b,03,18531.994140625
149971,c,far,True,3120,2015-03-19,4,1,1,0,17794,562,b,03,17689.751953125
150786,a,near,False,2984,2015-03-18,3,1,1,0,18473,262,b,03,18745.015625
151086,c,far,True,3104,2015-03-18,3,1,1,0,18245,562,b,03,18721.328125
151901,a,near,False,2979,2015-03-17,2,1,1,0,19416,262,b,03,19663.494140625
152201,c,far,True,3129,2015-03-17,2,1,1,0,17988,562,b,03,19654.001953125
153016,a,near,False,3177,2015-03-16,1,1,1,0,19841,262,b,03,22175.505859375
153316,c,far,True,3343,2015-03-16,1,1,1,0,21094,562,b,03,22511.201171875
154131,a,near,False,4282,2015-03-15,7,1,0,0,28339,262,b,03,27769.8515625
154431,c,far,True,3343,2015-03-15,7,1,0,0,20933,562,b,03,18638.662109375
155246,a,near,False,2941,2015-03-14,6,1,0,0,17133,262,b,03,16539.255859375
155546,c,far,True,2796,2015-03-14,6,1,0,0,13786,562,b,03,14026.1455078125
156361,a,near,False,3114,2015-03-13,5,1,0,0,18566,262,b,03,18920.244140625
156661,c,far,True,3242,2015-03-13,5,1,0,0,17321,562,b,03,17783.595703125
157476,a,near,False,2674,2015-03-12,4,1,0,0,15685,262,b,03,16310.0068359375
157776,c,far,True,2941,2015-03-12,4,1,0,0,17204,562,b,03,16530.998046875
158591,a,near,False,2587,2015-03-11,3,1,0,0,15289,262,b,03,14991.6591796875
158891,c,far,True,2928,2015-03-11,3,1,0,0,16842,562,b,03,16395.001953125
159706,a,near,False,2553,2015-03-10,2,1,0,0,14652,262,b,03,15208.669921875
160006,c,far,True,2936,2015-03-10,2,1,0,0,17329,562,b,03,16590.671875
160821,a,near,False,2876,2015-03-09,1,1,0,0,17233,262,b,03,16223.4970703125
161121,c,far,True,3051,2015-03-09,1,1,0,0,18229,562,b,03,16480.994140625
161936,a,near,False,4668,2015-03-08,7,1,0,0,28230,262,b,03,27769.8515625
162236,c,far,True,3309,2015-03-08,7,1,0,0,18637,562,b,03,18638.662109375
163051,a,near,False,3054,2015-03-07,6,1,0,0,16052,262,b,03,16539.255859375
163351,c,far,True,2743,2015-03-07,6,1,0,0,14055,562,b,03,14026.1455078125
164166,a,near,False,3461,2015-03-06,5,1,1,0,21371,262,b,03,21181.00390625
164466,c,far,True,3348,2015-03-06,5,1,1,0,19201,562,b,03,19927.49609375
165281,a,near,False,2980,2015-03-05,4,1,1,0,19875,262,b,03,18531.994140625
165581,c,far,True,3129,2015-03-05,4,1,1,0,19416,562,b,03,17689.751953125
166396,a,near,False,3012,2015-03-04,3,1,1,0,19625,262,b,03,18745.015625
166696,c,far,True,3118,2015-03-04,3,1,1,0,19001,562,b,03,18721.328125
167511,a,near,False,2927,2015-03-03,2,1,1,0,19842,262,b,03,19663.494140625
167811,c,far,True,3263,2015-03-03,2,1,1,0,20272,562,b,03,19654.001953125
168626,a,near,False,3320,2015-03-02,1,1,1,0,23082,262,b,03,22175.505859375
168926,c,far,True,3351,2015-03-02,1,1,1,0,21755,562,b,03,22511.201171875
169741,a,near,False,4512,2015-03-01,7,1,0,0,30629,262,b,03,27769.8515625
170041,c,far,True,3363,2015-03-01,7,1,0,0,20835,562,b,03,18638.662109375
170856,a,near,False,3158,2015-02-28,6,1,0,0,18971,262,b,02,16681.99609375
171156,c,far,True,2738,2015-02-28,6,1,0,0,14668,562,b,02,14005.9990234375
171971,a,near,False,3497,2015-02-27,5,1,0,0,21481,262,b,02,20416.3359375
172271,c,far,True,3429,2015-02-27,5,1,0,0,20324,562,b,02,19517.66796875
173086,a,near,False,2705,2015-02-26,4,1,0,0,17124,262,b,02,16876.005859375
173386,c,far,True,2840,2015-02-26,4,1,0,0,15956,562,b,02,16281.7548828125
174201,a,near,False,2708,2015-02-25,3,1,0,0,15198,262,b,02,15268.005859375
174501,c,far,True,2896,2015-02-25,3,1,0,0,16080,562,b,02,16603.197265625
175316,a,near,False,2737,2015-02-24,2,1,0,0,16061,262,b,02,15691.6640625
175616,c,far,True,2859,2015-02-24,2,1,0,0,15181,562,b,02,16043.1982421875
176431,a,near,False,2830,2015-02-23,1,1,0,0,16364,262,b,02,16321.5029296875
176731,c,far,True,2881,2015-02-23,1,1,0,0,15518,562,b,02,16170.001953125
177546,a,near,False,4260,2015-02-22,7,1,0,0,27090,262,b,02,28820.00390625
177846,c,far,True,3182,2015-02-22,7,1,0,0,18868,562,b,02,18773.37109375
178661,a,near,False,2933,2015-02-21,6,1,0,0,16591,262,b,02,16681.99609375
178961,c,far,True,2619,2015-02-21,6,1,0,0,14292,562,b,02,14005.9990234375
